term,definition
(natural) resources,资源
to consult/seek advice,咨询
letter (of alphabet),字母
(ever) since...,自从...
proud (of one's achievements),(感到)自豪
conscious(-ness),自觉
selfish,自私
voluntarily,自愿
CEO/president (of a country),总裁
president (of a country),总统
group/organization,组(织)
to combine/combination,组合(结合)
to prevent/block,阻止
drunk,(喝)醉
initially,最初(初期)
to respect,尊敬(尊重)
to comply with/respect (an agreement),遵守
work of art,作品
as a...,作为...
