"勉励";"Encourage"
"勉强";"to force sb to do sth"
"面貌";"face"
"面子";"prestige; face"
"描绘";"describe; portray"
"瞄准";"aim "
"渺小";"Tiny"
"藐视";"contempt"
"蔑视";"disparage; scorn"
"灭亡";"perish"
"民间";"nongovernmental"
"民主";"democratic"
"敏捷";"agile"
"敏锐";"keen"
"明明";"Obviously"
"明智";"wise"
"名次";"Ranking"
"名额";"Places"
"名副其实";"Be worthy of the name"
"名誉";"reputation"
"命名";"call; nominate"
"摸索";"fumble; grope"
"膜";"membrane"
"摩擦";"rub/scrape"
"磨合";"running-in"
