"驻扎";"Be stationed"
"铸造";"casting, foundry"
"拽";"drag; haul"
"专长";"Expertise"
"专程";"Special-purpose trip"
"专利";"patent"
"专题";"special collection"
"砖";"Brick"
"转达";"Convey"
"转让";"make over; transfer"
"转移";"transfer"
"转折";"Transition"
"传记";"biography"
"装备";"equipment"
"装卸";"Loading and unloading"
"庄严";"solemn"
"庄重";"grand; superb"
"庄稼";"crops"
"幢";"Building (meaure word)"
"壮观";"grand; sublime"
"壮丽 (宏伟/雄伟)";"magnificent"
"壮烈";"brave; heroic"
"追悼";"mour for"
"追究";"Investigate"
"坠";"fall"
